Atlas_Number,Entrances_Display_Name,Entrances_Number,Entrances_Type,Entrances_Position,Entrance_Summary,Entrances_Comments
3932,SC3932,6,Simple Gap,West,Through both the outermost terrace rampart and the Cruden Wall and approached by a trackway,null
3932,SC3932,6,Oblique,West,Approached obliquely by a trackway exposing the visitor's left side,null
3932,SC3932,7,Simple Gap,North west,Through the outermost terrace rampart and the Cruden Wall at the NW corner and approached obliquely by a trackway,null
3932,SC3932,7,Oblique,North west,Approached obliquely by a trackway exposing the visitor's right side,null
3932,SC3932,8,Simple Gap,North west,"Appears to be a later cut through both the outermost terrace rampart and the Cruden Wall, approached by a trackway",null
3932,SC3932,9,Simple Gap,North east,Through the Cruden Wall at the NE apex of the summit area,null
3933,EN3933,1,Simple Gap,South east,null,null
3934,SC3934,1,Oblique,North east,Details not visible but probably an angled approach exposing the visitor's left side,null
3934,SC3934,2,Simple Gap,West,A faint indentation in the line of the parchmark of the inner ditch,null
3937,SC3937,1,Other Forms,South,"forms a deep re-entrant, but all detail has been lost to ploughing",null
3938,EN3938,1,Simple Gap,North east,Modern path runs through.,null
3938,EN3938,2,In-turned,South east,Possible main gate utilises natural re-entrant into interior with possible inturn.,null
3938,EN3938,3,Postern Gate,West,Now seemingly destroyed.,null
3939,EN3939,1,In-turned,South east,"Public access has resulted in modern path around site perimeter, probably coming through original entrance on SE. Possible type only estimated.",null
3939,null,1,In-turned,null,null,null
3940,EN3940,1,In-turned,East,null,null
3940,EN3940,1,Recesses/Guard Chambers,East,Possible guard chambers.,null
3946,SC3946,1,Simple Gap,North east,null,null
3947,SC3947,1,Other Forms,North west,The outer rampart turns in on one side of the entrance,null
3948,EN3948,1,Passage-way/Corridor,North east,Straight entrance passage.,null
3948,EN3948,1,Hollow Way,North east,Deeply hollowed.,null
3948,EN3948,2,Passage-way/Corridor,South west,"Complex sequence of activity and remodelling, with final destruction by fire.",null
3948,EN3948,2,Recesses/Guard Chambers,South west,E and W stone-built guard chambers.,null
3948,EN3948,3,Blocked,East,Passage way blocked by steep scarp.,null
3948,EN3948,3,Passage-way/Corridor,East,Slightly curving passage.,null
3949,SC3949,1,Simple Gap,East,Through both ditches of the inner enclosure,null
3949,SC3949,2,Simple Gap,South,Through both ditches of the inner enclosure,null
3949,SC3949,2,Simple Gap,South,A possible gap in the outer enclosure,null
3950,EN3950,1,Simple Gap,South east,Possible.,null
3951,EN3951,1,Simple Gap,East,"Possible site of entrance, but could be modern.",null
3953,EN3953,1,Simple Gap,North east,Type conjecture only.,null
3954,EN3954,1,Simple Gap,South,Possible.,null
3955,EN3955,1,In-turned,South east,On SSE across causeway.,null
3955,EN3955,2,Simple Gap,South west,Across causeway.,null
3955,EN3955,3,Simple Gap,North west,Possible at NW corner.,null
3955,EN3955,3,Outworks,North west,This possibly guarded by slightly overlapping outer scarp and shallow ditch.,null
3957,EN3957,1,Simple Gap,South east,Causewayed.,null
3957,EN3957,2,Simple Gap,South west,Causewayed.,null
3958,EN3958,1,Simple Gap,East,null,null
3959,EN3959,1,Simple Gap,East,Causewayed.,null
3961,EN3961,1,Outworks,North west,Protective outer embankment.,null
3961,EN3961,2,Simple Gap,North east,null,null
3961,EN3961,3,Simple Gap,South east,null,null
3963,EN3963,1,In-turned,North west,null,null
3965,EN3965,1,Simple Gap,South east,Now only vague farm track nthrough.,null
3968,EN3968,1,Out-turned,East,Possible at N end of E side.,null
3969,EN3969,1,Other Forms,West,Complex entrance - to be defined.,null
3970,EN3970,1,In-turned,South west,null,null
3970,EN3970,2,Simple Gap,North west,Enlarged.,null
3971,EN3971,1,Out-turned,West,Slight out-turn on N.,null
3971,EN3971,1,Hollow Way,West,Long hollow way from below.,null
3971,EN3971,2,Simple Gap,North east,null,null
3972,EN3972,1,Simple Gap,South east,"Rubbish-filled/overgrown possible entrance on SE, but whether modern or original not assessed and unclear.",null
3973,EN3973,1,In-turned,South west,null,null
3974,EN3974,1,Simple Gap,South east,Type conjecture only.,null
3975,EN3975,1,Out-turned,North east,Possible.,null
3976,EN3976,1,Simple Gap,North west,null,null
3976,EN3976,1,Hollow Way,North west,Blocked and damaged hollow way.,null
3977,EN3977,1,Simple Gap,North west,Two gaps in rampart c. 10m wide separated by ditch c. 12m long.,null
3977,EN3977,2,Simple Gap,North east,null,null
3978,EN3978,1,Simple Gap,West,Main gate.,null
3983,EN3983,1,Simple Gap,North,"Possibly on N side near cliffs, where modern path enters, and where middle and inner ditches were never cut and access possibly regulated between outer rampart and external bank. Haldane, (1966, 34) also refers to possible access through wide gully on N side leading into interior at foot of which a spring.",null
3985,EN3985,1,Simple Gap,North east,null,null
3985,EN3985,2,Simple Gap,South west,null,null
3986,EN3986,1,Passage-way/Corridor,North,"Long passageway through ramparts and across ditches, with E inner bank curving obliquely inwards.",null
3986,EN3986,1,In-turned,North,E inner bank curves obliquely inwards.,null
3986,null,2,Blocked,null,Geophysical survey supported by earthwork survey suggested blocked entrance - no details of position.,null
3987,SC3987,1,Simple Gap,North east,pierces the whole belt of defences,null
3990,SC3990,1,Simple Gap,North west,"Through the angle, and not the typical position in rectilinear settlements",null
3991,SC3991,1,Simple Gap,West,null,null
3994,SC3994,1,Simple Gap,South east,Through all three circuits,null
3994,SC3994,2,Simple Gap,West,Through all three circuits,null
3999,SC3999,1,Simple Gap,North,null,null
3999,SC3999,2,Simple Gap,East,null,null
3999,SC3999,3,Simple Gap,South,But only certainly visible in the line of the outer ditch,null
3999,SC3999,4,Simple Gap,West,null,null
4003,SC4003,1,Simple Gap,South west,null,null
4003,SC4003,2,Oblique,East,Slightly staggered gaps. Oblique approach exposing right side,null
4003,SC4003,2,Simple Gap,East,Opposed terminals in both ditches,null
4004,SC4004,1,Passage-way/Corridor,East,In the outer circuit. Broad gap suggesting inner and outer ramparts returned and united at the ditch terminals.,null
4004,SC4004,1,Simple Gap,East,In the inner circuit,null
4004,SC4004,2,Over-lapping,South west,Through the outer circuit. Oblique approach exposing right side,null
4004,SC4004,2,Blocked,South west,In the inner circuit; simple gap blocked by narrower ditch,null
4004,SC4004,2,Oblique,South west,Oblique approach exposing right side,null
4004,SC4004,3,Hornwork,West,A complex entrance in the outer circuit,null
4004,SC4004,3,Simple Gap,West,In the inner circuit,null
4005,SC4005,1,Simple Gap,East,Through both ditches,null
4005,SC4005,2,Oblique,South,"Staggered gaps, and staggered terminals in the outer ditch. Oblique approach exposing right side",null
4005,SC4005,3,Simple Gap,West,The terminals of the outer ditch are very slightly staggered,null
4006,SC4006,1,Simple Gap,East,There is a very slight stagger in the ditch terminals,null
4006,SC4006,1,Oblique,East,The stagger may indicate an oblique approach exposing the visitor's right side,null
4006,SC4006,2,Simple Gap,West,Clearly pierces both the inner and outer ditches,null
4007,SC4007,1,Simple Gap,East,null,null
4008,SC4008,1,Oblique,East,Staggered gaps. Oblique approach exposing right side,null
4008,SC4008,2,Simple Gap,South west,Partly blocked by one of the later enclosures in the interior,null
4009,SC4009,1,Simple Gap,South east,Causeway across the ditch,null
4009,SC4009,2,Simple Gap,South west,No sign of a causeway spanning the ditch and this gap may be the result of erosion and later access.,null
4010,SC4010,1,Simple Gap,North east,null,null
4011,SC4011,1,Passage-way/Corridor,North,The counterscarp bank may have united with the inner rampart around the terminals of the ditch,null
4011,SC4011,2,Passage-way/Corridor,West,The counterscarp bank unites with the inner rampart around the terminals of the ditch,null
4012,SC4012,1,Blocked,North west,Revealed by a curious dogleg in the line of the outer rampart,null
4012,SC4012,1,Hornwork,North west,Dogleg creating shallow hornwork,null
4013,SC4013,1,Simple Gap,South east,On the NE margin of the spur,null
4016,SC4016,1,Passage-way/Corridor,North east,The fort ramparts return and unite around the terminals of the inner ditch,null
4016,SC4016,2,Simple Gap,South west,null,null
4018,SC4018,1,Simple Gap,North east,null,null
4020,SC4020,1,Other Forms,North east,The broad gap in the NE is a likely position for an entrance,null
4021,SC4021,1,Simple Gap,North east,null,null
4024,SC4024,1,Simple Gap,East,Pierces three ramparts,null
4024,SC4024,2,Oblique,West,"Grossly staggered gaps in the inner and outer ramparts, creating long approach to the inner exposing right side",null
4024,SC4024,2,Simple Gap,West,Opposed terminals at each gap,null
4025,SC4025,1,Simple Gap,North,Possibly along the edge of the escarpment,null
4026,SC4026,1,Simple Gap,East,Through both ditches,null
4028,SC4028,1,Simple Gap,North east,null,null
4031,SC4031,1,Simple Gap,North east,A gap in the ENE end,null
4033,SC4033,1,Simple Gap,North,null,null
4034,SC4034,1,Passage-way/Corridor,South west,The two outer ditches unite to either side of the causeway,null
4039,SC4039,1,Hollow Way,South west,No defined entrance but approached by a well-defined trackway,null
4039,SC4039,2,Simple Gap,North west,null,null
4040,SC4040,1,Simple Gap,East,null,null
4041,SC4041,1,Simple Gap,North east,along the margin of the escarpment,null
4043,EN4043,1,Simple Gap,South west,Deeply-cut quarried track,null
4043,EN4043,2,Simple Gap,East,null,null
4044,EN4044,1,Simple Gap,South west,Possible only.,null
4044,EN4044,2,Simple Gap,North west,Possible only.,null
4049,EN4049,1,Passage-way/Corridor,East,Uncertain if passageway is contemporary,null
4050,SC4050,1,Simple Gap,East,No real detail visible,null
4051,SC4051,1,In-turned,North,Inturns on the third rampart,null
4051,SC4051,1,Oblique,North,"Elongated entrance way along the foot of the second rampart, exposing right side",null
4051,SC4051,2,Passage-way/Corridor,South,The inner and second rampart return and unite on one side of the entrance passage,null
4051,SC4051,3,Oblique,West,Staggered gaps. Oblique approach exposing right side,null
4052,SC4052,1,Simple Gap,East,Down the steep escarpment to the rear,null
4052,SC4052,2,Other Forms,West,"Piercing all the defences and showing evidence of modification, in which the terminals of the ramparts were staggered, to extend the length of the entrance way on the visitor's right side",null
4055,SC4055,1,Simple Gap,East,null,null
4056,SC4056,1,Passage-way/Corridor,West,Inner and outer ramparts have possibly returned and united around the terminals of the ditch,null
4057,SC4057,1,Simple Gap,North east,Blocked by later bank,null
4057,SC4057,2,Simple Gap,South east,Uncertain whether this is original; blocked by later bank,null
4060,EN4060,1,In-turned,East,"Flanking outer banks and ditches, both probably contemporary.",null
4060,EN4060,1,Outworks,East,Flanking outer banks and ditches for c. 45m.,null
4060,EN4060,2,In-turned,West,Slight inturn.,null
4061,SC4061,1,Simple Gap,South west,null,null
4063,SC4063,1,Simple Gap,North east,Pierces all three ramparts,null
4063,SC4063,2,Simple Gap,South west,Possible entrance in the ploughed down sector noted by James Hewat Craw,null
4063,SC4063,3,Passage-way/Corridor,North west,"The ramparts return and unite around the terminals of the inner ditch, and subsequently blocked",null
4063,SC4063,3,Blocked,North west,Blocking inserted into Entrance 3 and additional rampart added to the outside,null
4064,EN4064,1,Simple Gap,East,null,null
4064,EN4064,2,Simple Gap,West,null,null
4065,SC4065,1,Passage-way/Corridor,North east,"Slightly staggered wide gap, probably to allow inner and outer ramparts to unite around the terminals of the ditch",null
4065,SC4065,2,Oblique,South west,The E ditch terminal turns inwards to create a slight stagger. Oblique approach exposing right side,null
4067,SC4067,1,Simple Gap,North east,Slightly staggered ditch terminals formed at an angle in the perimeter,null
4067,SC4067,2,Simple Gap,South west,Largely hidden but again probably slightly staggered ditch terminals,null
4071,SC4071,1,Simple Gap,East,null,null
4072,SC4072,1,Blocked,North east,If this re-entrant marks an entrance it is apparently blocked,null
4073,SC4073,1,Simple Gap,East,"Ill-defined, the gap may be in the order of 10m wide, sufficient for the ramparts to have returned and united around the terminals of the inner ditch",null
4074,SC4074,1,Simple Gap,East,null,null
4074,SC4074,2,Simple Gap,West,null,null
4077,SC4077,1,Simple Gap,South west,null,null
4083,SC4083,1,Simple Gap,North east,Apparent causeway across the middle and outer ditches,null
4083,SC4083,2,Simple Gap,East,"In the innermost ditch, with possible scar of wear intersecting the middle and outer ditches",null
4083,SC4083,3,Simple Gap,West,"Piercing all three ditches, though the gap in the inner is slightly staggered to one side, and the outer gaps are broad enough to suggest that the ramparts may have returned and united around the terminals of the outer ditches",null
4084,SC4084,1,Simple Gap,North east,Through the twin ditches of the promontory enclosure,null
4084,SC4084,2,Simple Gap,East,Possible gap through the twin ditches of the promontory enclosure,null
4086,SC4086,1,Simple Gap,West,null,null
